02000	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	336	334	40	0	0		1	0	127.0.0.1	2026-04-17 23:10:39	人物上线	0

02001	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	336	334	40	35	0		0	0	127.0.0.1	2026-04-17 23:11:14	人物离线0/0/51	0

02000	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	336	334	40	0	0		1	0	127.0.0.1	2026-04-17 23:12:59	人物上线	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	336	334	40	0	0		3000	57198429	传送员|	2026-04-17 23:13:21	-	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D716	24	9	40	0	0		210	57198639	掉落进背包	2026-04-17 23:13:23	+	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D716	24	11	40	0	0		220	57198859	掉落进背包	2026-04-17 23:13:29	+	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D716	24	11	40	0	0		98	57198957	掉落进背包	2026-04-17 23:13:40	+	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D717	27	71	40	0	0		568	57199525	掉落进背包	2026-04-17 23:14:12	+	0

