02000	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	336	334	20000	0	0		1	0	127.0.0.1	2026-03-24 22:15:25	人物上线	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	336	336	20000	0	1	金币	300000	320406	传送员|	2026-03-24 22:15:32	-	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	334	334	20000	0	1	金币	3000	317406	传送员|	2026-03-24 22:15:52	-	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D024	30	30	20000	0	1	金币	166	317572	掉落进背包	2026-03-24 22:15:54	+	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D024	30	30	20000	0	1	金币	515	318087	掉落进背包	2026-03-24 22:15:55	+	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D024	24	22	20000	0	1	金币	313	318400	掉落进背包	2026-03-24 22:16:31	+	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D024	24	21	20000	0	1	金币	290	318690	掉落进背包	2026-03-24 22:17:02	+	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D024	18	25	20000	0	1	金币	407	319097	掉落进背包	2026-03-24 22:17:13	+	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D024	25	18	20000	0	1	金币	70	319167	掉落进背包	2026-03-24 22:17:25	+	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	D024	40	39	20000	0	1	金币	381	319548	掉落进背包	2026-03-24 22:18:30	+	0

02002	soft119	b4d74785ccea37c832e960f7f868f333	哈迪斯	1773657920000001167	3	330	330	20000	0	2	元宝	30	1094357	商铺购买	2026-03-24 22:19:26	-	0

