1/1	0:00:38
1/1	0:05:38
1/1	0:10:38
1/1	0:15:38
1/1	0:20:38
1/1	15:26:40
1/1	15:31:40
1/1	15:36:40
1/1	15:41:40
0/1	15:46:40
1/1	15:51:40
1/1	15:56:40
1/1	16:01:40
1/1	16:06:40
1/1	16:11:40
1/1	16:16:40
1/1	16:21:40
1/1	16:26:40
1/1	16:31:40
1/1	16:36:40
1/1	16:41:40
1/1	16:46:40
1/1	16:53:50
1/1	16:58:50
1/1	17:03:50
1/1	17:08:50
1/1	17:13:50
0/1	17:18:50
0/0	17:23:50
0/0	17:28:50
0/0	17:33:50
0/0	17:38:50
0/0	17:43:50
0/0	17:48:50
0/0	17:53:50
0/0	17:58:50
0/0	18:03:50
0/0	18:08:50
0/0	18:13:50
1/1	18:18:50
1/1	18:23:50
1/1	18:28:50
1/1	18:33:50
1/1	18:38:50
1/1	18:43:50
1/1	18:48:50
1/1	18:53:50
0/1	18:59:33
0/0	19:04:33
0/0	19:09:33
0/0	19:14:33
0/0	19:19:33
0/0	19:24:33
0/0	19:29:33
0/0	19:34:33
0/0	19:39:33
0/0	19:44:33
0/0	19:49:33
0/0	19:54:33
0/0	19:59:33
0/0	20:04:33
0/0	20:09:33
0/0	20:14:33
0/0	20:19:33
0/0	20:24:33
0/0	20:29:33
0/0	20:34:33
0/0	20:39:33
0/0	20:44:33
0/0	20:49:33
0/0	20:54:33
0/0	20:59:33
0/0	21:04:33
0/0	21:09:33
0/0	21:14:33
0/0	21:19:33
0/0	21:24:33
0/0	21:29:33
0/0	21:34:33
1/1	21:39:33
1/1	21:44:33
1/1	21:49:33
1/1	21:54:33
1/1	21:59:33
1/1	22:04:33
1/1	22:09:33
1/1	22:14:33
1/1	22:19:33
1/1	22:24:33
1/1	22:29:33
1/1	22:34:33
1/1	22:39:33
1/1	22:44:33
1/1	22:49:33
1/1	22:54:33
1/1	22:59:33
1/1	23:04:33
1/1	23:09:33
1/1	23:14:33
1/1	23:19:33
1/1	23:24:33
1/1	23:29:33
1/1	23:34:33
1/1	23:39:33
1/1	23:44:33
1/1	23:49:33
1/1	23:54:33
1/1	23:59:33
