0/0	0:01:01
0/0	0:06:01
0/0	0:11:01
0/0	0:16:01
0/0	0:21:01
0/0	0:30:59
0/0	0:35:59
0/0	0:40:59
0/0	0:45:59
1/1	0:50:59
1/1	0:55:59
1/1	1:00:59
1/1	1:05:59
1/1	1:10:59
1/1	20:15:55
1/1	20:20:55
0/1	20:25:55
0/0	20:30:55
1/1	20:35:55
1/1	20:40:55
1/1	20:45:55
1/1	20:50:55
0/1	20:55:55
0/0	21:00:55
0/0	21:05:55
0/1	21:10:55
1/1	21:15:55
0/1	21:20:55
1/1	21:25:55
1/1	21:30:55
0/1	21:35:55
0/1	21:40:55
1/1	21:45:55
0/1	21:50:55
1/1	21:55:55
1/1	22:00:55
1/1	22:05:55
1/1	22:10:55
1/1	22:15:55
1/1	22:20:55
1/1	22:25:55
1/1	22:30:55
1/1	22:35:55
1/1	22:40:55
1/1	22:45:55
1/1	22:50:55
1/1	22:55:55
1/1	23:00:55
1/1	23:05:55
1/1	23:10:55
1/1	23:15:55
1/1	23:20:55
1/1	23:25:55
1/1	23:30:55
1/1	23:35:55
1/1	23:40:55
1/1	23:45:55
1/1	23:50:55
1/1	23:55:55
